FILENAME,IDEAL INPUT,OUTPUT,   
ARXIV_1411_7798.json,"<TASK> Summarize this abstract for high-school audience while highlight importance of contributions </TASK> <ABSTRACT> <BACKGROUND>In multimedia applications, the text and image components in a web document form a pairwise constraint that potentially indicates the same semantic concept.</BACKGROUND> <BACKGROUND>This paper studies cross-modal learning via the pairwise constraint and aims to find the common structure hidden in different modalities.</BACKGROUND> <CONTRIBUTION>We first propose a compound regularization framework to address the pairwise constraint, which can be used as a general platform for developing cross-modal algorithms.</CONTRIBUTION> <CONTRIBUTION>For unsupervised learning, we propose a multi-modal subspace clustering method to learn a common structure for different modalities.</CONTRIBUTION> <CONTRIBUTION>For supervised learning, to reduce the semantic gap and the outliers in pairwise constraints, we propose a cross-modal matching method based on compound ℓ21 regularization.</CONTRIBUTION> <CONTRIBUTION>Extensive experiments demonstrate the benefits of joint text and image modeling with semantically induced pairwise constraints, and they show that the proposed cross-modal methods can further reduce the semantic gap between different modalities and improve the clustering/matching accuracy.</CONTRIBUTION> </ABSTRACT>","This paper shows how to link text and images by finding shared hidden patterns. The authors build a new mathematical framework and use it to create two tools: one that groups text and images without labels, and another that matches them when labels are present. Their tests prove these tools work better at reducing mistakes and improving accuracy in combining text and image data.",   
ARXIV_2103_12820.json,"<TASK> Summarize this abstract for high-school audience while highlight importance of contributions </TASK> <ABSTRACT> <BACKGROUND>Developing complex engineered systems (CES) poses significant challenges for engineers, managers, designers, and businesspeople alike due to the inherent complexity of the systems and contexts involved.</BACKGROUND> <BACKGROUND>Furthermore, experts have expressed great interest in filling the gap in theory about how CES develop.</BACKGROUND> <BACKGROUND>This article begins to address that gap in two ways.</BACKGROUND> <BACKGROUND>First, it reviews the numerous definitions of CES along with existing theory and methods on CES development processes.</BACKGROUND> <CONTRIBUTION>Then, it proposes the ComplEx System Integrated Utilities Model (CESIUM), a novel framework for exploring how numerous system and development process characteristics may affect the performance of CES.</CONTRIBUTION> <CONTRIBUTION>CESIUM creates simulated representations of a system architecture, the corresponding engineering organization, and the new product development process through which the organization designs the system.</CONTRIBUTION> <CONTRIBUTION>It does so by representing the system as a network of interdependent artifacts designed by agents.</CONTRIBUTION> <CONTRIBUTION>Agents iteratively design their artifacts through optimization and share information with other agents, thereby advancing the CES toward a solution.</CONTRIBUTION> <CONTRIBUTION>This paper describes the model, conducts a sensitivity analysis, provides validation, and suggests directions for future study.</CONTRIBUTION> </ABSTRACT>","CESIUM is a new tool that copies how both a complicated machine and the team building it work together. It treats the machine as a web of parts, and the engineers as agents who share ideas and improve their designs. The authors ran tests in different situations to make sure CESIUM gives reliable results. Finally, they suggested ways other researchers could build on their work.",   
ARXIV_2004_02020.json,"<TASK> Summarize this abstract for high-school audience while highlight importance of contributions </TASK> <ABSTRACT> <BACKGROUND>Remote attestation (RA) authenticates code running in trusted execution environments (TEEs), allowing trusted code to be deployed even on untrusted hosts.</BACKGROUND> <BACKGROUND>However, trust relationships established by one component in a distributed application may impact the security of other components, making it difficult to reason about the security of the application as a whole.</BACKGROUND> <BACKGROUND>Furthermore, traditional RA approaches interact badly with modern web service design, which tends to employ small interacting microservices, short session lifetimes, and little or no state.</BACKGROUND> <CONTRIBUTION>This paper presents the Decent Application Platform, a framework for building secure decentralized applications.</CONTRIBUTION> <CONTRIBUTION>Decent applications authenticate and authorize distributed enclave components using a protocol based on self-attestation certificates, a reusable credential based on RA and verifiable by a third party.</CONTRIBUTION> <CONTRIBUTION>Components mutually authenticate each other not only based on their code, but also based on the other components they trust, ensuring that no transitively-connected components receive unauthorized information.</CONTRIBUTION> <CONTRIBUTION>While some other TEE frameworks support mutual authentication in some form, Decent is the only system that supports mutual authentication without requiring an additional trusted third party besides the trusted hardware's manufacturer.</CONTRIBUTION> <CONTRIBUTION>We have verified the secrecy and authenticity of Decent application data in ProVerif, and implemented two applications to evaluate Decent's expressiveness and performance: DecentRide, a ride-sharing service, and DecentHT, a distributed hash table.</CONTRIBUTION> <CONTRIBUTION>On the YCSB benchmark, we show that DecentHT achieves 7.5x higher throughput and 3.67x lower latency compared to a non-Decent implementation.</CONTRIBUTION> </ABSTRACT>","The Decent Application Platform is a new system that lets different pieces of a distributed app check each other’s code and make sure it’s safe—all without extra middlemen. Each piece uses a special digital “badge” (called a self-attestation certificate) plus mathematical proofs to keep data private and prove it’s genuine. Engineers tested it in real apps, like a ride-sharing service and a distributed hash table. In those tests, it ran about seven times faster than usual systems and made each response in less than a third of the time.",   
ARXIV_1811_08536.json,"<TASK> Summarize this abstract for high-school audience while highlight importance of contributions </TASK> <ABSTRACT> <CONTRIBUTION>New relations among the mixture direct correlation function integrals (or fluctuation integrals) in terms of concentration variables are developed.</CONTRIBUTION> <CONTRIBUTION>These relations indicate that, for example, for a binary mixture only one of the three direct correlation function integrals (or one of the three fluctuation integrals) is independent.</CONTRIBUTION> <CONTRIBUTION>Different closure expressions for mixture cross direct correlation function integrals are suggested and they are joined with the exact relations to calculate all the direct correlation function integrals and fluctuation integrals in a mixture.</CONTRIBUTION> <CONTRIBUTION>The results indicate the possibility of introduction of simple closure expressions relating unlike- and like-interaction direct correlation integrals.</CONTRIBUTION> <CONTRIBUTION>It is demonstrated that the relation between the direct correlation integrals of hard-sphere mixtures can be satisfactorily represented by a simple geometric mean closure.</CONTRIBUTION> </ABSTRACT> ","Scientists came up with new, simple formulas that show how the parts of a two-ingredient mixture affect each other. They proved that you only need to know one main number to figure out all the interaction details. To check their idea, they used an easy averaging method for solid “hard-sphere” particles. Because of this work, predicting how mixtures behave is now much easier for scientists.",   
ARXIV_1506_00902.json,"<TASK> Summarize this abstract for high-school audience while highlight importance of contributions </TASK> <ABSTRACT> <CONTRIBUTION>We propose a novel method to constrain the spatial extent of dust around galaxies through the measurement of dust temperature.</CONTRIBUTION> <CONTRIBUTION>Our method combines the dust emission of galaxies from far-infrared (FIR) image stacking analysis and the quasar reddening due to the dust absorption around galaxies.</CONTRIBUTION> <CONTRIBUTION>As a specific application of our method, we use the stacked FIR emission profiles of SDSS photometric galaxies over the IRAS 100 μm map, and the recent measurement of the SDSS galaxy-quasar cross-correlation.</CONTRIBUTION> <CONTRIBUTION>If we adopt a single-temperature dust model, the resulting temperature is around 18 K, which is consistent with a typical dust temperature for a central part of galaxies.</CONTRIBUTION> <CONTRIBUTION>If we assume an additional dust component with much lower temperature, the current data imply the temperature of the galactic dust needs to be higher, 20 K to 30 K.</CONTRIBUTION> <BACKGROUND>Since the model of the density and temperature distribution of dust adopted in the current paper is very simple, we cannot draw any strong conclusion at this point.</BACKGROUND> <CONTRIBUTION>Nevertheless our novel method with the elaborated theoretical model and multi-band measurement of dust will offer an interesting constraint on the statistical nature of galactic dust.</CONTRIBUTION> </ABSTRACT>","This study describes an easy way to measure dust around galaxies. Scientists use heat-sensitive camera images and see how light from distant quasars turns reddish when it passes through dust. From two large sky surveys, they found that this dust is very cold—about 18 K in a basic model and up to 20–30 K when extra cold dust is added. By combining these two tricks, astronomers can better tell how much dust circles a galaxy and how chilly it really is.",   
ARXIV_2110_12691.json,"<TASK> Summarize this abstract for high-school audience while highlight importance of contributions </TASK> <ABSTRACT> <BACKGROUND>Compressed sensing (CS) in Magnetic resonance Imaging (MRI) essentially involves the optimization of 1) the sampling pattern in k-space under MR hardware constraints and 2) image reconstruction from the undersampled k-space data.</BACKGROUND> <BACKGROUND>Recently, deep learning methods have allowed the community to address both problems simultaneously, especially in the non-Cartesian acquisition setting.</BACKGROUND> <BACKGROUND>This paper aims to contribute to this field by tackling some major concerns in existing approaches.</BACKGROUND> <CONTRIBUTION>Regarding the learning of the sampling pattern, we perform ablation studies using parameter-free reconstructions like the density compensated (DCp) adjoint operator of the nonuniform fast Fourier transform (NUFFT) to ensure that the learned k-space trajectories actually sample the center of k-space densely.</CONTRIBUTION> <CONTRIBUTION>Additionally we optimize these trajectories by embedding a projected gradient descent algorithm over the MR hardware constraints.</CONTRIBUTION> <CONTRIBUTION>Later, we introduce a novel hybrid learning (HL) approach that operates across multiple resolutions to jointly optimize the reconstruction network and the k-space trajectory.</CONTRIBUTION> <CONTRIBUTION>This HL method presents an improved image reconstruction quality at 20-fold acceleration factor on the fastMRI dataset with SSIM scores of nearly 0.92-0.95 in our retrospective studies as compared to corresponding Cartesian reference.</CONTRIBUTION> <CONTRIBUTION>Further, we observe a 3-4 dB gain in PSNR as compared to earlier state-of-the-art methods.</CONTRIBUTION> </ABSTRACT>",MRI scans often take a long time because they need detailed data to form clear pictures. The researchers created and tested new patterns for collecting data and built a hybrid deep learning system that simultaneously decides how to scan and how to rebuild the image. Their method made scans up to 20 times faster and produced sharper images than older methods.,   
ARXIV_2003_03849.json,"<TASK> Summarize this abstract for high-school audience while highlight importance of contributions </TASK> <ABSTRACT> <BACKGROUND>The research in image quality assessment (IQA) has a long history, and significant progress has been made by leveraging recent advances in deep neural networks (DNNs).</BACKGROUND> <BACKGROUND>Despite high correlation numbers on existing IQA datasets, DNN-based models may be easily falsified in the group maximum differentiation (gMAD) competition.</BACKGROUND> <CONTRIBUTION>Here we show that gMAD examples can be used to improve blind IQA (BIQA) methods.</CONTRIBUTION> <CONTRIBUTION>Specifically, we first pre-train a DNN-based BIQA model using multiple noisy annotators, and fine-tune it on multiple synthetically distorted images, resulting in a “top-performing” baseline model.</CONTRIBUTION> <CONTRIBUTION>We then seek pairs of images by comparing the baseline model with a set of full-reference IQA methods in gMAD.</CONTRIBUTION> <CONTRIBUTION>The spotted gMAD examples are most likely to reveal the weaknesses of the baseline, and suggest potential ways for refinement.</CONTRIBUTION> <CONTRIBUTION>We query human quality annotations for the selected images in a well-controlled laboratory environment, and further fine-tune the baseline on the combination of human-rated images from gMAD and existing databases.</CONTRIBUTION> <CONTRIBUTION>This process may be iterated, enabling active fine-tuning from gMAD examples for BIQA.</CONTRIBUTION> <CONTRIBUTION>We demonstrate the feasibility of our active learning scheme on a large-scale unlabeled image set, and show that the fine-tuned quality model achieves improved generalizability in gMAD, without destroying performance on previously seen databases.</CONTRIBUTION> </ABSTRACT>","Scientists found a new way to teach AI to judge photo quality more accurately. They pick pairs of images—one the AI handles well and one that tricks it—to reveal its weak spots. Whenever the AI makes a mistake, people rate the tricky image, and those human scores are used to retrain the model. By repeating this “active learning” process, the AI learns from its errors and gets better at judging new images without losing its skill on the ones it already knew.",   
ARXIV_1010_1662.json,"<TASK> Summarize this abstract for high-school audience while highlight importance of contributions </TASK> <ABSTRACT> <CONTRIBUTION>We show that a partial gauge fixing of the NS sector of the democratic-picture superstring field theory leads to the non-polynomial theory.</CONTRIBUTION> <CONTRIBUTION>Moreover, by partially gauge fixing the Ramond sector we obtain a non-polynomial fully RNS theory at pictures 0 and ½.</CONTRIBUTION> <CONTRIBUTION>Within the democratic theory and in the partially gauge fixed theory the equations of motion of both sectors are derived from an action.</CONTRIBUTION> <CONTRIBUTION>We also discuss a representation of the non-polynomial theory analogous to a manifestly two-dimensional representation of WZW theory and the action of bosonic pure-gauge solutions.</CONTRIBUTION> <CONTRIBUTION>We further demonstrate that one can consistently gauge fix the NS sector of the democratic theory at picture number −1.</CONTRIBUTION> <CONTRIBUTION>The resulting theory is new.</CONTRIBUTION> <CONTRIBUTION>It is a Z2​ dual of the modified cubic theory.</CONTRIBUTION> <CONTRIBUTION>We construct analytical solutions of this theory and show that they possess the desired properties.</CONTRIBUTION> </ABSTRACT>","In this paper, the authors introduce an easy-to-understand method called gauge fixing that simplifies a complex string theory without losing any of its key ideas. They then build two new models from a clear starting rule (the “action”) and prove they work by giving precise, exact examples. Finally, they discover a brand-new “dual” theory linked to the famous cubic model and provide simple, step-by-step formulas so students can follow along and verify the results themselves.",   
ARXIV_2403_06647.json,"<TASK> Summarize this abstract for high-school audience while highlight importance of contributions </TASK> <ABSTRACT> <BACKGROUND>We study the positivity and asymptotic behaviour of nonnegative solutions of a general nonlocal fast diffusion equation, ∂tu+Lφ(u)=0,∂t​u+Lφ(u)=0, and the interplay between these two properties.</BACKGROUND> <BACKGROUND>Here LL is a stable-like operator and φφ is a singular nonlinearity.</BACKGROUND> <CONTRIBUTION>We start by analysing positivity by means of a weak Harnack inequality satisfied by a related elliptic (nonlocal) equation.</CONTRIBUTION> <CONTRIBUTION>Then we use this positivity to establish the asymptotic behaviour: under certain hypotheses on the nonlocal operator and nonlinearity, our solutions behave asymptotically as the Barenblatt solution of the standard fractional fast diffusion equation.</CONTRIBUTION> <BACKGROUND>The main difficulty stems from the generality of the operator, which does not allow the use of the methods that were available for the fractional Laplacian.</BACKGROUND> <CONTRIBUTION>Our results are new even in the case where φφ is a power.</CONTRIBUTION> </ABSTRACT>","This paper studies how things like heat or particles spread over time. The authors made three key discoveries. First, they proved that the solutions never go below zero, so they stay nonnegative. Second, they found that as time passes, the spreading follows the famous Barenblatt pattern. Third, they showed that these results apply to a much wider range of diffusion processes than those studied before, even beyond the usual power-law examples.",   
ARXIV_1805_12212.json,"<TASK> Summarize this abstract for high-school audience while highlight importance of contributions </TASK> <ABSTRACT> <BACKGROUND>We describe, study, and experiment with an algorithm for finding all solutions of systems of polynomial equations using homotopy continuation and monodromy.</BACKGROUND> <BACKGROUND>This algorithm follows the framework developed by Duff et al. (2018) and can operate in the presence of a large number of failures of the homotopy continuation subroutine.</BACKGROUND> <CONTRIBUTION>We give special attention to parallelization and probabilistic analysis of a model adapted to parallelization and failures.</CONTRIBUTION> <CONTRIBUTION>Apart from theoretical results, we developed a simulator that allows us to run a large number of experiments without recomputing the outcomes of the continuation subroutine.</CONTRIBUTION> </ABSTRACT>","This paper explains a way to solve many polynomial equations by starting with simple ones and slowly changing them into harder ones. It also uses a tool called monodromy to jump between different solutions. The authors made three big improvements. First, they made the method run on lots of computers at the same time. Second, they studied how often parts of the process might fail and why. Third, they built a simulator that can check thousands of problems quickly without redoing every step. Together, these changes make solving large equation systems faster, more reliable, and much easier to test.",   
